Perfume;Brand;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
elixir-de-muguet;id-parfums;women;3,9;30;2013;bergamot, grapefruit;lily-of-the-valley;ylang-ylang, musk;white floral;citrus;fresh;green;yellow floral
js-navy-blue;jeanne-arthes;men;3,9;41;2015;lemon, water mint;lavender, rosemary, cypress, geranium, nutmeg;amber, sandalwood, white musk;aromatic;fresh spicy;lavender;citrus;woody
pivoine-feerie;jeanne-en-provence;women;3,9;48;2015;peony, green notes, citruses;peony, white flowers, violet;musk, vanilla;floral;fresh;green;rose;white floral
taariikh-rose;junaid-perfumes;women;3,9;29;2014;jasmine, violet;rose;musk;rose;white floral;floral;powdery;musky
bois-de-cypres;karl-lagerfeld;men;3,9;80;2023;mandarin orange, lemon, cardamom;cypress, water mint, lavender;clary sage, cashmeran, vetiver;aromatic;woody;citrus;fresh spicy;green
nude-lips;kkw-fragrance;women;3,9;154;2019;solar notes, spices, lily-of-the-valley;magnolia, jasmine, peony;tahitian vanilla, amber, musk;vanilla;aldehydic;powdery;mineral;amber
jasmin-bergamote;l-occitane-en-provence;women;3,9;456;2013;bergamot, petitgrain, mandarin orange;egyptian jasmine, jasmine;cedar, sandalwood;citrus;white floral;woody;fresh spicy;aromatic
kingkydise;laurent-mazzone-parfums;unisex;3,9;134;2021;litchi, pink grapefruit, sichuan pepper;rose, matcha tea, iris;white musk, amber, sandalwood;rose;citrus;fruity;tropical;powdery
acqua-zenzero;laurent-mazzone-parfums;unisex;3,9;48;2021;ginger, cardamom, pepperwood or hercules club;jasmine, sandalwood, nutmeg;vetiver, musk, moss;warm spicy;woody;aromatic;white floral;fresh
syconium;maria-candida-gentile;unisex;3,9;168;2014;milk, honey;fig;beeswax, sandalwood;honey;lactonic;woody;sweet;fruity
molinard-de-molinard;molinard;women;3,9;198;2017;galbanum, tagetes, fruity notes, cassis, bergamot, labdanum;narcissus, ylang-ylang, incense, jasmine, may rose;vetiver, patchouli, amber;aromatic;green;balsamic;yellow floral;woody
neon-amber-eau-de-parfum;molton-brown;unisex;3,9;50;2021;pink pepper, violet leaves, mandarin orange;tonka bean, cedar needles;cedar, ambroxan, labdanum;amber;woody;vanilla;musky;sweet
eau-de-yuzu;nicolai-parfumeur-createur;unisex;3,9;196;2020;yuzu, lemon leaf;grapefruit, juniper;guaiac wood, patchouli;citrus;fresh spicy;woody;aromatic;green
anti-malocchio;nobile-1942;unisex;3,9;92;2022;red chilli pepper, salt, basil, almond, star anise;immortelle, sea notes, cypress, spun sugar, guaiac wood;vetiver, oakmoss, sandalwood, patchouli, amber;woody;warm spicy;aromatic;sweet;herbal
aurora;nuancielo;women;3,9;39;2022;black currant, red berries, cassis;rose, lily-of-the-valley, ylang-ylang;musk, vanilla;fruity;fresh;rose;musky;green
evodia;nuancielo;unisex;3,9;52;2020;saffron, jasmine;amber, ambergris, woodsy notes;fir resin, cedar;amber;woody;warm spicy;animalic;fresh spicy
apotheose;oriza-l-legrand;unisex;3,9;52;2023;eucalyptus, pepper;rose, ylang ylang;benzoin, musk;woody;amber;musky;camphor;rose
heliotrope-blanc;oriza-l-legrand;men;3,9;264;2014;heliotrope, violet leaf, orange blossom;heliotrope, almond, iris, mimosa;heliotrope, rice, musk, tonka bean, benzoin;powdery;almond;vanilla;sweet;floral
blissful-strawberry;the-body-shop;women;3,9;50;2022;strawberry;peony;musk;fruity;sweet;;;
vibrant-bergamot-eau-de-toilette;the-body-shop;women;3,9;39;2022;bergamot;magnolia;lily-of-the-valley;floral;white floral;citrus;fresh;green
japanese-cherry-blossom-strawberry-kiss;the-body-shop;women;3,9;197;2017;strawberry, japanese cherry blossom, orange;pink peony, rose, jasmine;caramel, vanilla, white musk, amber, sandalwood;floral;fruity;sweet;fresh;rose
craquele;the-merchant-of-venice;unisex;3,9;149;2015;cypress, violet leaf, red thyme;saffron, cedar, freesia;leather, incense, white musk;leather;woody;warm spicy;smoky;aromatic
eau-my-secret;women-secret;women;3,9;281;2016;italian mandarin, pear, lemon, grapefruit, blackberry;almond, jasmine, orange blossom, rose, white cedar extract;vanilla, praline, musk, sandalwood, hawthorn;sweet;almond;fruity;citrus;nutty
satin-doll;ys-uzac;women;3,9;78;2013;elemi resin, pink pepper, black pepper;iris, rose, tuberose, jasmine;opoponax, myrrh, incense, patchouli, oakmoss;amber;balsamic;iris;rose;warm spicy
yohji-yamamoto-femme;yohji-yamamoto;women;3,9;589;2013;pear, bergamot, black currant;iris, jasmine, lily-of-the-valley;heliotrope, sandalwood, musk, cedar;powdery;woody;fruity;iris;vanilla
or-kanabo;uermi;unisex;3,9;105;2017;sichuan pepper, orange, lemon;whipped cream, osmanthus, apricot;heliotrope, vanilla, tonka bean, opoponax, benzoin, woody notes;vanilla;sweet;amber;powdery;floral
simone;tocca;women;3,9;648;2014;watermelon, apple, lemon;freesia, frangipani, rose, ylang-ylang;musk, woody notes, amber;floral;ozonic;aquatic;fruity;citrus
live-in-colors;the-house-of-oud;unisex;3,9;289;2018;grapefruit, red fruits, lemon;pink pepper, ginger;hinoki wood, musk, amber;citrus;aromatic;woody;fresh spicy;fruity
rasputin;swedoft;men;3,9;141;2019;bergamot, pineapple, jasmine;cloves, cardamom, patchouli, cinammon, dark chocolate;musk, cedar, agarwood (oud), tonka bean, incense;warm spicy;woody;aromatic;patchouli;
amande;solinotes;unisex;3,9;163;2021;almond, passionfruit;tonka bean, jasmine;vanilla, sandalwood;vanilla;almond;sweet;fruity;nutty
pink-canyon;skylar;unisex;3,9;334;2021;grapefruit, lemon, sage;lily-of-the-valley, magnolia, tiare flower;salt, cedar, musk, amber;citrus;aromatic;woody;salty;musky
black-mamba;sapientiae-niche;unisex;3,9;58;2022;coffee, hazelnut, smoke, agarwood (oud);honey, virginia cedar, ylang-ylang, iris, egyptian pelargonium;myrrh, peru balsam, patchouli, ebony, vanilla absolute, labdanum, jasmine sambac;woody;warm spicy;amber;coffee;nutty
poivre-colonial;phaedon;unisex;3,9;50;2013;pepper, grapefruit, nutmeg;vetiver, cacao pod, cedar;white wood, patchouli, oakmoss;fresh spicy;woody;aromatic;citrus;warm spicy
guaria-morada;parfums-berdoues;unisex;3,9;107;2020;brazilian orange;amyris;patchouli;woody;aromatic;citrus;balsamic;patchouli
golden-prince;orlov-paris;men;3,9;84;2017;grapefruit, red berries, spicy notes;incense, juniper berries, nutmeg, cedar;vetiver, oakmoss, sandalwood;woody;aromatic;earthy;fresh spicy;mossy
ubar-1992;moresque;unisex;3,9;94;2018;cypress, bergamot;clary sage, incense, black pepper;vetiver, labdanum, patchouli, leather;aromatic;woody;amber;fresh spicy;earthy
sakura;miya-shinma;unisex;3,9;42;2015;rose, citruses, jasmine;black currant, peony, rose;musk;floral;rose;fresh;fruity;citrus
ad-lumen;min-new-york;unisex;3,9;83;2015;bergamot;egyptian jasmine, rose;musk;musky;citrus;powdery;white floral;fresh spicy
sexual-paris-tendre-pour-femme;michel-germain;women;3,9;42;2016;champagne, mandarin orange, ginger, red currant;violet, orris root, freesia, french rose;sandalwood, musk, amber;powdery;floral;citrus;violet;woody
jet-black-intense;michael-malul-london;men;3,9;69;2021;mint, apple, elemi;lavender, juniper, clary sage;vetiver root, suede, patchouli;aromatic;green;fresh spicy;woody;earthy
dream-fearlessly;mary-kay;women;3,9;51;2017;pink pepper, pineapple, bergamot, may rose;tyger lily, jasmine, orange blossom;patchouli, benzoin, cedar;woody;white floral;sweet;patchouli;soft spicy
northern-lace-severnye-kruzeva;ladanika;unisex;3,9;31;2017;aldehydes, galbanum, olibanum;powdery notes, ylang-ylang;cotton flower, vanilla, sandalwood;powdery;aldehydic;vanilla;fresh;
kenneth-cole-for-him;kenneth-cole;men;3,9;125;2018;sea salt, citruses, mineral notes;ginger, jasmine;white amber, woodsy notes;citrus;warm spicy;amber;mineral;fresh
miss-gabriela-night;gabriela-sabatini;women;3,9;181;2014;passionfruit, blackberry, grapefruit;gardenia, freesia, jasmine;coconut, sandalwood, musk, amber;fruity;sweet;tropical;white floral;citrus
pois-de-senteur;fragonard;women;3,9;117;2014;peach, bergamot, orange, violet;sweet pea, lily-of-the-valley, rose;musk, sandalwood, vanilla;floral;sweet;citrus;white floral;powdery
pulse;eudora;men;3,9;29;2022;lavender;elemi;amber, cedar;aromatic;amber;lavender;woody;balsamic
rainmaker;en-voyage-perfumes;unisex;3,9;29;2016;silver pine, green leaves, citruses;patchouli, incense, iris, rhododendron;fir, oakmoss, cedar, california redwood, amber;woody;aromatic;earthy;amber;patchouli
girl-of-now-lovely;elie-saab;women;3,9;339;2022;mint, pear, rosemary, mandarin orange, galbanum, black currant blossom;almond, orange blossom, frangipani, anise, rose;tonka bean, patchouli, amber, ambroxan;aromatic;green;fruity;sweet;almond
acqua-decima;eau-d-italie;unisex;3,9;224;2013;lemon, mint, mandarin orange;neroli, petitgrain;vetiver, white wood;citrus;aromatic;green;woody;fresh spicy
dilis-classic-collection-no-39;dilis-parfum;women;3,9;31;2019;bergamot, grapefruit, lemon;osmanthus, floral notes, pear, orange;cedar, musk, oakmoss;citrus;floral;fruity;woody;fresh spicy
mosquito;comporta-perfumes;unisex;3,9;30;2017;ozonic notes, green grass;orris root, floral notes, white flowers, lily-of-the-valley;musk, sandalwood;powdery;green;ozonic;musky;fresh
acqua-wood;collistar;men;3,9;107;2015;lemon leaf, bergamot, black pepper;ambroxan, labdanum, lavender, sage;cedar, guaiac wood, sandalwood, musk;woody;aromatic;amber;musky;fresh spicy
l-for-women;clive-christian;women;3,9;196;2014;pink pepper, artemisia, black pepper, white pepper;damask rose, jasmine;patchouli, vetiver, cedar, vanilla;rose;fresh spicy;herbal;aromatic;woody
loubikiss;christian-louboutin;women;3,9;105;2020;jasmine;tuberose;musk, woody notes;white floral;tuberose;musky;animalic;powdery
l-eau-pure-2014;caron;unisex;3,9;31;2014;sea notes, bergamot, lime;coriander, nutmeg;guaiac wood, cedar;citrus;woody;aromatic;marine;fresh spicy
violette-precieuse;caron;women;3,9;49;2018;iris, violet;lily-of-the-valley, musk;raspberry, sandalwood;powdery;violet;iris;white floral;woody
fig-man;carner-barcelona;unisex;3,9;316;2019;fig, bergamot, cardamom;sea notes, fig tree, violet;guaiac wood, tonka bean, indonesian patchouli leaf;woody;aromatic;marine;fruity;citrus
cologne-reloaded;bogue;men;3,9;50;2013;citruses, lavender;styrax, resins;castoreum;amber;leather;citrus;lavender;smoky
titan;beverly-hills-polo-club;men;3,9;49;2018;ginger, nutmeg, lemon, grapefruit;pink pepper, mint, jasmine;incense, vetiver, sandalwood, patchouli;warm spicy;woody;fresh spicy;aromatic;soft spicy
otto-kern-commitment-woman;otto-kern;women;3,9;71;2014;red berries, champagne, pink pepper;jasmine, bulgarian rose, violet;white musk, chocolate, vanilla, cedar;powdery;sweet;musky;fruity;rose
r-e-m;ariana-grande;women;3,91;2714;2020;zefir, caramel, salt, fig, quince;lavender, pear blossom;musk, tonka bean, sandalwood;sweet;lavender;powdery;caramel;fruity
chrome-under-the-pole;azzaro;men;3,91;55;2018;calabrian bergamot, lemon, rosemary, pineapple, neroli;cyclamen, coriander, oakmoss, jasmine;sandalwood, cedar, oakmoss, tonka bean, brazilian rosewood, musk, cardamom;woody;aromatic;citrus;floral;fresh
sea;azzaro;unisex;3,91;82;2019;mandarin orange;sea notes;patchouli;marine;citrus;patchouli;aromatic;salty
jungle-fantasy;britney-spears;women;3,91;207;2023;watermelon, yuzu, violet leaf;water lily, gardenia, gustavia flower;cupcake, tonka;aquatic;ozonic;floral;citrus;sweet
my-burberry-blush;burberry;women;3,91;2185;2017;pomegranate, lemon;green apple, rose petals, geranium;wisteria, jasmine;fruity;rose;fresh spicy;floral;fresh
rose-goldea-blossom-delight;bvlgari;women;3,91;535;2019;papaya, violet leaf, jasmine;rose, rose leaf, lily-of-the-valley;bulgarian rose, white musk, amber;rose;green;musky;white floral;floral
let-s-settle-this-argument-like-adults-in-the-bedroom-naked;by-kilian;unisex;3,91;1487;2018;bergamot, lemon;fig nectar, green notes, hedione;vanilla, sandalwood, cedar, orris, amberwood, violet;woody;powdery;fruity;vanilla;sweet
amor-amor-love-festival;cacharel;women;3,91;95;2020;coca-cola, grapefruit, cassis;rose, jasmine, lily-of-the-valley;vanilla, musk, cedar;coca-cola;vanilla;citrus;warm spicy;white floral
ck2;calvin-klein;unisex;3,91;2146;2016;wasabi, violet leaf, mandarin orange, pear;pebbles, hedione, orris root, peony, rose;vetiver, white musk, incense, sandalwood;mineral;fresh spicy;ozonic;aquatic;woody
good-girl;carolina-herrera;women;3,91;17361;2016;almond, coffee, bergamot, lemon;tuberose, jasmine sambac, orange blossom, orris, bulgarian rose;tonka bean, cacao, vanilla, praline, sandalwood, musk, amber, cashmere wood, cinnamon, patchouli, cedar;sweet;white floral;warm spicy;vanilla;cacao
