Perfume;Brand;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
navus;navitus-parfums;unisex;3,56;114;2019;neroli, bergamot, grapefruit, orange, juniper berries, pink pepper;ylang-ylang, rose, jasmine, amber;vetiver, musk, cedar;citrus;aromatic;woody;fresh spicy;white floral
sweet-ambrette;majouri;unisex;3,56;27;2019;bergamot;pear, lily-of-the-valley;ambrette (musk mallow), musk;musky;fruity;floral;sweet;fresh
villa-sorrento;la-perla;unisex;3,56;81;2021;grapefruit, green mandarin, blood orange;neroli, citrus leaves;musk, ambergris, woodsy notes;citrus;fresh spicy;;;
osmanthus;l-erbolario;women;3,56;190;2016;grapefruit, bergamot, sicilian lemon, apricot, pink pepper, yellow mandarin;orange blossom, osmanthus, gardenia, angelica, jasmine, turkish rose;patchouli, amyris, benzoin, bourbon vanilla;citrus;white floral;floral;fruity;aromatic
blood-cedar;heretic-parfums;unisex;3,56;32;2016;cedar, spruce, incense;fir, red cedar;vetiver, oakmoss;woody;aromatic;fresh spicy;earthy;
arge;giardino-benessere;unisex;3,56;39;2022;raspberry, passionfruit, peach;heliotrope, magnolia, tuberose, lily-of-the-valley, bulgarian rose;australian sandalwood, musk, vanilla flower, atlas cedar, ambergris, leather, singapore patchouli;fruity;powdery;sweet;woody;vanilla
james-bond-007-seven;eon-productions;men;3,56;79;2015;apple, bergamot, mandarin orange;nutmeg, saffron, cinnamon, white pepper;caramel, vanilla, sandalwood, leather, amber, cedar, musk, mahogany;woody;fresh spicy;citrus;warm spicy;powdery
rituel-d-orient-secret-iv;eisenberg;women;3,56;66;2017;bergamot, lemon;agarwood (oud), jasmine, rose;patchouli, amber, guaiac wood, musk, vanilla;woody;citrus;patchouli;oud;amber
dilis-classic-collection-no-33;dilis-parfum;women;3,56;36;2015;lemon, bergamot, mandarin orange;ginger, cardamom, jasmine;cedar, white musk, amber;citrus;warm spicy;aromatic;woody;powdery
fragrance-04;dedcool;unisex;3,56;90;2018;black pepper, fig;bergamot, lemon, jasmine, freesia;patchouli, incense, sandalwood;citrus;fresh spicy;woody;warm spicy;patchouli
urban-homme;david-beckham;men;3,56;39;2013;green apple, mandarin orange, thyme;violet leaf, pineapple, lavender;amber, suede, cedar;fruity;ozonic;aromatic;amber;woody
classic;david-beckham;men;3,56;373;2013;lime, gin, galbanum;mint, cypress, nutmeg;amber, texas cedar, vetiver;woody;aromatic;green;fresh spicy;amber
tubereuse-merveilleuse-2021;caron;women;3,56;48;2021;bitter almond, lemon, carambola (star fruit), ginger;indian tuberose, orange blossom, jasmine sambac;musk, almond milk, vanilla;white floral;tuberose;citrus;musky;sweet
badgley-mischka-eau-de-parfum;badgley-mischka;women;3,56;101;2018;neroli, pear blossom, iris, pink pepper;peony, magnolia, tuberose, jasmine, jasmine sambac, osmanthus;musk, sandalwood, amber, coconut;floral;white floral;fresh;citrus;tuberose
burberry-summer-for-women-2013;burberry;women;3,57;226;2013;pomegranate, green leaves, mandarin orange;freesia, lily-of-the-valley, rose;white musk, cedar, sandalwood;woody;floral;citrus;green;white floral
dolce-lily;dolce-gabbana;women;3,57;478;2022;passionfruit, lemon, bergamot;rose, pink lily;musk, vanilla, sandalwood;citrus;tropical;fruity;sweet;fresh
citizen-x;ex-nihilo;unisex;3,57;250;2017;mastic or lentisque, white pepper;iris;musk, olibanum, amberwood;amber;woody;fresh spicy;powdery;musky
dahlia-noir-l-eau;givenchy;women;3,57;1093;2013;neroli, green notes, lemon, grapefruit;rose, peony;cedar, musk, patchouli, amberwood;woody;citrus;musky;patchouli;powdery
loody;gritti;unisex;3,57;28;2015;cardamom, apricot, cinnamon;moroccan rose, leather, whiskey;musk, black amber, guaiac wood, patchouli;woody;rose;animalic;musky;amber
la-petite-robe-noire-eau-de-parfum-limited-edition-2014;guerlain;women;3,57;46;2014;sour cherry, red berries, almond, bergamot;licorice, black rose, taif rose, black tea;patchouli, vanilla, tonka bean, iris, anise;sweet;fruity;vanilla;soft spicy;almond
boss-the-scent-pure-accord-for-him;hugo-boss;men;3,57;227;2020;ginger;maninka;white suede;warm spicy;leather;fruity;fresh;musky
l-eau-d-issey-city-blossom;issey-miyake;women;3,57;107;2015;calone, pink pepper, bergamot, lemon;magnolia, freesia, lily-of-the-valley, rose, osmanthus;white cedar extract, white musk, ambroxan, honey;floral;fresh;citrus;musky;ozonic
le-beau-male;jean-paul-gaultier;men;3,57;1024;2013;mint, wormwood;lavender, orange blossom, sage;musk;aromatic;fresh spicy;green;lavender;musky
jimmy-choo-love;jimmy-choo;women;3,57;37;2015;sweet orange, pear;orchid;patchouli, toffee;sweet;patchouli;citrus;woody;warm spicy
urban-hero-gold-edition;jimmy-choo;men;3,57;201;2021;pineapple, blood orange;tonka bean, lavender;sandalwood, oakmoss;sweet;fruity;citrus;vanilla;lavender
plum-blossom-2017;jo-malone-london;women;3,57;94;2017;yellow plum;plum blossom, jasmine, ylang-ylang;white musk, sandalwood;floral;fruity;fresh;white floral;sweet
green-almond-redcurrant-cologne-2023;jo-malone-london;unisex;3,57;58;2023;citruses, red currant;green almond;tonka bean, cedarwood;fruity;citrus;almond;fresh;sweet
wisteria-lavender-cologne;jo-malone-london;unisex;3,57;143;2020;lavender;wisteria flower, heliotrope;musk;musky;lavender;powdery;floral;fresh spicy
oudgasm-tobacco-oud-04-eau-de-parfum-intense;kayali-fragrances;unisex;3,57;154;2023;white honey, mandarin orange, clary sage, geranium, plum;saffron, clove;tobacco, oud, vanilla, praline, benzoin, patchouli;sweet;tobacco;warm spicy;oud;honey
l-insoumis-ma-force;lalique;men;3,57;194;2018;green apple, citruses, cardamom, lemon;lavender, violet leaf, camphor, rosemary;cashmere wood, woody notes, amber;woody;aromatic;citrus;lavender;fresh
la-vie-est-belle-artist-edition-by-ladypink;lancome;women;3,57;42;2018;black currant, pear;orange blossom, iris, jasmine sambac;patchouli, vanilla, praline, tonka bean;sweet;vanilla;fruity;white floral;patchouli
baccarat-rouge-540-scented-hair-mist;maison-francis-kurkdjian;unisex;3,57;69;2022;saffron, jasmine, hedione;amberwood, ambergris;fir resin, cedar;woody;warm spicy;amber;metallic;leather
day-dreams;montale;unisex;3,57;752;2017;mandarin orange, orange blossom;tiare flower, jasmine, neroli;vanilla, sandalwood, coconut;white floral;citrus;vanilla;sweet;woody
rendez-vous-a-moscou;montale;women;3,57;181;2018;pear, white peach, mandarin orange, coconut, peach blossom, lemon, ginger;egyptian jasmine, moroccan rose, patchouli leaf;bourbon vanilla, musk, cedar, ambergris, sandalwood;fruity;citrus;sweet;white floral;floral
individuel-tonic;montblanc;men;3,57;75;2018;juniper berries, rosemary, pineapple, bergamot, cardamom, coriander, mint, lavender, cinnamon;geranium, orange blossom, violet, jasmine;oakmoss, musk, sandalwood, raspberry, vetiver, vanilla, patchouli, amber, dark chocolate;aromatic;fresh spicy;woody;mossy;fruity
so-real-cheap-chic;moschino;women;3,57;926;2017;bitter orange, tangerine, sorbet, raspberry, black currant;pink peony, magnolia, jasmine;ambroxan, musk, cedar, oakmoss;citrus;floral;fruity;sweet;fresh
dali-wild;salvador-dali;women;3,57;541;2013;tuberose, green notes, gardenia, yuzu;jasmine, magnolia, musk;woody notes, mahogany;white floral;woody;green;tuberose;floral
tempest;xerjoff;unisex;3,57;44;2023;brazilian orange, elemi, ginger, lemon, calabrian bergamot, petitgrain paraguay, lavender;bulgarian rose, amberwood, jasmine sambac, atlas cedar, cypriol oil or nagarmotha, gurjan balsam;laotian oud, haitian vetiver, amber, musk, sandalwood, singapore patchouli;citrus;woody;aromatic;amber;rose
oui-a-l-amour-collector-edition-2018;yves-rocher;women;3,57;63;2018;angelica;rose;tonka bean, cedar;amber;musky;rose;vanilla;powdery
woman-cherry;zara;women;3,57;87;2021;mandarin orange, pear, cherry;sour cherry blossom, peony, tiare flower;black vanilla husk, praline;floral;fruity;citrus;sweet;vanilla
live-in-colour;oriflame;women;3,57;115;2018;rhubarb;butomus umbellatus;white amber;fruity;floral;green;amber;aromatic
athena-sensual-breeze;oriflame;women;3,57;49;2014;bergamot, cactus flower, fig, pink pepper;jasmine, frangipani, freesia;vanilla, ambergris, patchouli;floral;citrus;white floral;vanilla;tropical
miss-relax;oriflame;women;3,57;60;2015;jasmine;bamboo;musk;woody;musky;white floral;powdery;earthy
24k-brilliant-gold;michael-kors;women;3,57;346;2015;mandarin orange;floral notes;woody notes;floral;citrus;woody;;
l-eau-pour-homme-intense-vetiver;armand-basi;men;3,57;37;2020;cardamom, iced lemon, blood mandarin;cypress leaf, geranium, rosemary, mint, lavender;vetiver, virginian cedar, patchouli;woody;aromatic;warm spicy;fresh spicy;earthy
hour;blend-oud;unisex;3,57;58;2015;pineapple, hyacinth;pink pepper, iris, jasmine;patchouli, musk, vetiver, vanilla, amber;woody;earthy;sweet;powdery;musky
spumante;brocard;unisex;3,57;77;2022;champagne ros‚, apricot, pineapple, apple;freesia, orange blossom;milk, caramel, oakmoss;fruity;sweet;lactonic;caramel;fresh
marselle;faberlic;women;3,57;95;2020;cranberry, pink pepper, blood orange;barberry, apricot, peach blossom, jasmine;tonka bean, leather, sandalwood, amber;fruity;leather;sweet;amber;
urban-legend-for-her;faberlic;women;3,57;100;2017;aldehydes, orange;jasmine, raspberry, gardenia;patchouli, vanilla;white floral;fruity;sweet;patchouli;vanilla
tender-white;iceberg;women;3,57;106;2014;raspberry, pink pepper, grapefruit;peony, hawthorn, rose;orris, musk, vanilla;floral;sweet;rose;powdery;fruity
energizing-man;mexx;men;3,57;49;2013;orange, watery notes, grapefruit;artemisia, nutmeg, cedar;patchouli, musk, amber;citrus;fresh spicy;aquatic;woody;herbal
kyomu;mr-waldron;unisex;3,57;30;2022;bitter almond, saffron, mandarin orange, bergamot;osmanthus, turkish rose, jasmine sambac, star anise;sandalwood, cashmere wood, madagascar vanilla;woody;floral;fruity;rose;warm spicy
rise;akro;unisex;3,57;386;2023;pi¤a colada, coconut water, pineapple;tiare flower, toffee, frangipani;sandalwood, ambroxan;sweet;fruity;coconut;tropical;white floral
rusty-vibes;antonio-alessandria;unisex;3,57;44;2020;coconut, passionfruit, tropical fruits;floral notes, jasmine, lily-of-the-valley;vanilla, milk, incense, amber, tonka bean, musk, woody notes;tropical;vanilla;sweet;coconut;lactonic
signature-grey;bugatti-fashion;men;3,57;30;2021;bergamot, pepper, pink pepper;honeysuckle, vetiver, agarwood (oud), elemi resin, leather;patchouli, moss, cacao, amber;fresh spicy;aromatic;white floral;woody;earthy
cologne-mood;comptoir-sud-pacifique;unisex;3,57;49;2017;bergamot, rhubarb;nutmeg, cardamom;cedar, indonesian patchouli leaf, iris;citrus;fresh spicy;aromatic;woody;green
pink-sugar-creamy-sunshine;aquolina;women;3,57;515;2020;coconut milk, orange, green mandarin, bergamot;sugar, tiare flower, ylang-ylang, gardenia, mimosa;vanilla, caramel, monoi oil, sandalwood, moss;sweet;vanilla;coconut;white floral;tropical
memoires-de-mustique;eight-bob;unisex;3,57;240;2016;neroli, petitgrain, bergamot;orange blossom, jasmine sambac, osmanthus;white musk, woodsy notes, amber;white floral;citrus;floral;aromatic;fresh spicy
london;gallivant;unisex;3,57;228;2017;cucumber, violet leaf;rose de mai, rose, orris root;leather, cedar, sandalwood, patchouli;ozonic;aquatic;rose;leather;green
naples;gallivant;unisex;3,57;105;2021;sea notes, ginger, bergamot, ozonic notes, pink pepper;olibanum, incense, cardamom, nutmeg, labdanum;clearwood, guaiac wood, vetiver, patchouli, birch, amber;amber;warm spicy;woody;aromatic;fresh spicy
guess-dare-for-men;guess;men;3,57;156;2016;juniper berries, white pepper, bergamot;cashmere wood, jasmine, geranium;cedar, musk, patchouli;fresh spicy;woody;aromatic;musky;warm spicy
guess-night;guess;men;3,57;225;2013;pepper, grapefruit, elemi;geranium, cedar, vetiver;black vanilla husk, labdanum, patchouli;fresh spicy;aromatic;woody;vanilla;warm spicy
peonypop;hermetica;unisex;3,57;141;2021;bulgarian rose, bergamot, black currant, osmanthus, grapefruit, violet leaf;peony, raspberry, jasmine, geranium, lily-of-the-valley, iris;musk, vetiver, plum, cedar, moss, amber, sandalwood, myrrh;rose;floral;fruity;fresh;citrus
piege-de-lulu-castagnette;lulu-castagnette;women;3,57;47;2015;mandarin orange, orange, bergamot;ground cherry, lotus, almond;patchouli, oakmoss, vanilla;citrus;patchouli;earthy;fruity;woody
mercedes-benz-air;mercedes-benz;men;3,57;28;2023;wormwood, petitgrain;angelica;turmeric, patchouli, woody notes;aromatic;musky;amber;warm spicy;fresh spicy
love-rush;paris-hilton;women;3,57;56;2022;bergamot, mandarin orange, apricot;gardenia, tunisian orange blossom, dahlia;musk, sandalwood, vanilla orchid;white floral;musky;powdery;citrus;woody
sunny-magnolia;lanvin;women;3,57;210;2021;apricot, mandarin orange;chinese osmanthus, jasmine;white musk, vanilla;fruity;floral;white floral;citrus;powdery
vintage-collection-tropicana;lorenzo-villoresi;unisex;3,57;143;2014;tropical fruit, pineapple, peach, osmanthus, magnolia;passionfruit, melon, coconut, milk, jasmine;ylang-ylang, tuberose, vanilla, chocolate, musk;fruity;tropical;sweet;fresh;lactonic
maya;tocca;women;3,57;538;2018;black currant, violet leaf;iris flower, damask rose, jasmine;patchouli, oakmoss, sandalwood;woody;fruity;earthy;patchouli;iris
herbe-zen;solinotes;unisex;3,57;37;2023;green leaves, buchu or agathosma, black currant blossom, mint;artemisia, poppy, rose;cedar, white amber, musk, sandalwood;green;aromatic;herbal;fresh spicy;floral
colore-colore-silk-beige;parfums-genty;women;3,57;61;2013;cardamom, carrot seeds, violet leaf, pomelo, lavender;massoia, iris, geranium, carnation;tolu balsam, woody notes, tobacco, tonka bean, vetiver, amber;powdery;warm spicy;amber;woody;sweet
cross-of-asia;orlov-paris;women;3,57;56;2015;geranium;ylang-ylang, tuberose, jasmine;musk, amber;white floral;yellow floral;tuberose;musky;sweet
eidola;navitus-parfums;unisex;3,57;74;2020;italian mandarin, orange, bergamot;french rose, bulgarian rose, jasmine, peach;cedar, haitian vetiver, vanilla, patchouli;rose;white floral;floral;fruity;woody
melon-kiss;navitus-parfums;unisex;3,57;102;2024;melon, bergamot;melon, coconut milk;madagascar vanilla, honey;sweet;vanilla;ozonic;coconut;aquatic
verve-matin;navitus-parfums;unisex;3,57;44;2020;sicilian lemon, orange, bergamot, grapefruit, lemon, cardamom;clary sage, bay leaf, juniper berries, saffron;ambergris, myrhh, cinnamon, musk, driftwood;aromatic;citrus;fresh spicy;warm spicy;soft spicy
miracle-of-roses;miguel-matos;unisex;3,57;47;2019;cinnamon, bread, milk;rose, immortelle, heliotrope, iris;honey, incense, woody notes, sandalwood;warm spicy;woody;rose;cinnamon;powdery
fleur-noire;lpdo;unisex;3,57;51;2020;black gardenia, bergamot, citruses, mandarin orange;jasmine, ylang-ylang, spicy notes, floral notes, orchid, lotus;vanilla, incense, patchouli, sandalwood;white floral;floral;warm spicy;woody;yellow floral
radonezh-radonez;ladanika;unisex;3,57;28;2021;oat, maple, vermouth;chestnut, cotton flower, st. john's wort, immortelle, raisin;rye, plum wood, propolis, oak, vanilla, cedar, woody notes, heather;woody;sweet;aromatic;herbal;powdery
lr-gallant;la-rive;men;3,57;35;2019;bergamot;lavender, rosemary, geranium;woodsy notes, ambroxan, labdanum, tonka bean;aromatic;fresh spicy;amber;woody;citrus
alba-in-asia;l-erbolario;women;3,57;93;2023;lotus, lemon;watery notes, orange blossom;white musk, cedar;aquatic;floral;musky;fresh;citrus
melograno-pomegranate;l-erbolario;unisex;3,57;110;2022;mandarin orange, lemon;pomegranate, red currant, pink pepper;musk;fruity;musky;citrus;soft spicy;woody
halloween-magic;halloween;women;3,57;210;2018;pear ice cream, raspberry, yellow mandarin;freesia, pink peony, jasmine sambac;vanilla, tonka bean, patchouli;fruity;vanilla;sweet;floral;lactonic
absinthe;franck-boclet;unisex;3,57;183;2015;wormwood, lavender, green mandarin;wormwood, rhubarb, heliotrope;vetiver, woodsy notes, amber, leather;aromatic;woody;lavender;fresh spicy;bitter
sleeping-on-the-roof;floraiku;unisex;3,57;522;2017;lily-of-the-valley;orange blossom;musk, amber;white floral;fresh;musky;green;soapy
eau-relax;biotherm;women;3,57;60;2017;bitter orange, tea, bergamot;cardamom, lily-of-the-valley, jasmine;tonka bean, vanilla, white musk, patchouli;citrus;warm spicy;vanilla;aromatic;fresh
noir-by-night;atelier-des-ors;unisex;3,57;249;2022;incense, coriander;caviar, mate, dreamwood;sandalwood, guaiac wood, cashmere wood;woody;savory;animalic;amber;nutty
mademoiselle-l-eau-tre-s-belle;azzaro;women;3,58;241;2017;blueberry, red berries, grapefruit, orange;peach, jasmine, hawthorn, rose;macarons, violet, caramel, vanilla, sandalwood;sweet;fruity;vanilla;powdery;fresh
velvet;commodity;unisex;3,58;329;2021;rose petals, black amber, almond;musk;labdanum, patchouli, amber;amber;rose;patchouli;musky;woody
party-love;escada;women;3,58;155;2023;cherry;whipped cream;cupcake, vanilla;sweet;vanilla;cherry;lactonic;
epices-volees;guerlain;unisex;3,58;142;2021;coriander, artemisia, lemon, bergamot;clove, cardamom, sage, bulgarian rose;sandalwood, patchouli, benzoin, labdanum;warm spicy;aromatic;herbal;woody;citrus
boss-jour-pour-femme;hugo-boss;women;3,58;1334;2013;lime, grapefruit blossom;white flowers, freesia, lily-of-the-valley, honeysuckle;birch, amber;white floral;citrus;floral;leather;fresh
l-eau-d-issey-shades-of-kolam;issey-miyake;women;3,58;59;2020;freesia, grapefruit, cardamom;jasmine sambac, may rose, rice basmati;ambergris, cedar;floral;white floral;rose;citrus;amber
la-vie-est-belle-glitter;lancome;women;3,58;95;2013;black currant, pear;iris, jasmine, orange blossom;praline, vanilla, patchouli, tonka bean;sweet;fruity;vanilla;white floral;iris
ananda-tchai;m-micallef;women;3,58;239;2017;lemon, bergamot;green tea, nutmeg, heliotrope, ylang-ylang, thyme, fern, rose;spices, amber, vanilla, woody notes, white musk, cedar;fresh spicy;citrus;aromatic;powdery;vanilla
daisy-paradise-limited-edition-eau-de-toilette;marc-jacobs;women;3,58;101;2022;poppy;floral notes, oak;ambroxan;floral;woody;amber;fresh spicy;sweet
bois-de-sauge;yves-rocher;men;3,58;189;2020;clary sage;guaiac wood;patchouli;woody;aromatic;soft spicy;patchouli;warm spicy
peach-margarita;zara;women;3,58;26;2018;melon;rose;musk;ozonic;aquatic;rose;musky;fresh
marshmallow-addiction;zara;women;3,58;107;2022;fruity notes, sunflower;gourmand accord, vanilla;musk;sweet;fruity;vanilla;musky;powdery
zara-av-das-americas-4666-rio-de-janeiro;zara;women;3,58;33;2015;red berries;watermelon;sugar, woody notes;sweet;ozonic;fruity;aquatic;vanilla
universal-oud;zara;unisex;3,58;202;2021;black pepper;agarwood (oud);patchouli;oud;fresh spicy;patchouli;warm spicy;woody
001-somewhere-nowhere;zara;women;3,58;57;2019;lemon;magnolia;musk;citrus;aromatic;musky;floral;
be-happy-feel-good;oriflame;women;3,58;59;2020;blood orange, bergamot, black currant;turmeric, magnolia, peony;sandalwood, musk, vanilla;citrus;warm spicy;floral;woody;fruity
sex;desigual;women;3,58;98;2014;red berries, rhubarb, soybean;indian tuberose, jasmine, grapefruit blossom;musk, vanilla, woodsy notes;white floral;fruity;tuberose;green;sweet
apollo;axe;men;3,58;214;2013;quince, clary sage, mandarin orange;lavender, violet leaf, iris, geranium;amber, moss, sandalwood, cashmere wood, vetiver;aromatic;woody;lavender;amber;earthy
play-in-blue-seduction-for-women;antonio-banderas;women;3,58;36;2017;black currant, violet leaf, bergamot;watery notes, gardenia, lily-of-the-valley;patchouli, musk, amber;fruity;aquatic;white floral;woody;patchouli
mille-feuille;brocard;women;3,58;33;2022;red apple, mirabelle;caramel, vanilla, cinnamon, damask rose;sandalwood;fruity;sweet;caramel;vanilla;fresh
forever-classic-never-boring-for-him;mexx;men;3,58;38;2018;hog plum, grapefruit, blood orange, bergamot, lemon;eucalyptus, rosemary, jasmine;cedar, patchouli, sandalwood, amber;citrus;woody;aromatic;fresh spicy;fruity
night-dose;vertus;unisex;3,58;76;2015;saffron, mirabelle, plum, apple, grapefruit;damask rose, coconut, peach, orris root, heliotrope, lily-of-the-valley, jasmine;sandalwood, musk, amber, oakmoss, patchouli, cedar, tobacco, tonka bean;fruity;warm spicy;sweet;woody;powdery
la-fantastique;bourjois;women;3,58;26;2022;pear, pink pepper;rose, jasmine;musk, cashmere wood;musky;rose;white floral;woody;floral
red-cherry;castelbajac;women;3,58;78;2020;red berries;cherry;vanilla, praline;sweet;fruity;vanilla;cherry;fresh
la-nuit-danse;chabaud-maison-de-parfum;women;3,58;36;2019;bergamot;floral notes, violet, heliotrope, jasmine;rice, vanilla, tonka bean, sandalwood;floral;powdery;vanilla;violet;woody
enjoy-woman;custo-barcelona;women;3,58;33;2013;mandarin orange, bergamot, ginger, pepper;raspberry, jasmine, apple, litchi, gardenia;woodsy notes, moss, amber;citrus;fruity;fresh spicy;white floral;warm spicy
vanicocca;dede-arte-profumata;unisex;3,58;26;2022;apricot, lemon;osmanthus, apricot, vanilla, carrot seeds, coconut;opoponax, amber, benzoin;fruity;powdery;floral;amber;lactonic
dkny-women-summer-2019;donna-karan;women;3,58;26;2019;rhubarb, mandarin orange, black currant, bitter orange;jasmine sambac, freesia, rose, galbanum;cedar, amberwood, musk;woody;fruity;citrus;green;aromatic
ambassadora;gisada;unisex;3,58;252;2021;mandarin orange, pink pepper, blueberry, violet leaf;orange blossom, jasmine, cashmere wood, freesia;vanilla, sugar, musk, sandalwood, vetiver;white floral;sweet;citrus;woody;musky
guess-uomo;guess;men;3,58;99;2022;cardamom, lavender, grapefruit;sage, saffron, geranium;amber, dark woodsy notes, benzoin;amber;warm spicy;aromatic;woody;lavender
gryffindor-parfum;house-of-sillage;unisex;3,58;50;2022;black currant blossom, tea leaf, black pepper;dahlia, orris, ambroxan;musk, indonesian patchouli leaf, madagascar vanilla;floral;musky;powdery;fresh spicy;woody
nejlon-nylon;holynose-parfums;unisex;3,58;48;2017;banana, whiskey;haitian vetiver, white tea;sandalwood, musk, cedar;woody;whiskey;fruity;sweet;warm spicy
orlando;jardins-d-ecrivains;unisex;3,58;125;2013;ginger, pink pepper, orange;cloves, amber, patchouli;peru balsam, musk, guaiac wood;amber;warm spicy;woody;balsamic;musky
john-varvatos-xx-indigo;john-varvatos;men;3,58;166;2021;mint, lemon, pink pepper;geranium, cardamom, himalayan poppy;patchouli, vetiver, musk;aromatic;fresh spicy;green;warm spicy;citrus
cataliya;maissa-parfums;unisex;3,58;48;2020;black currant, plum, lemon, grapefruit;caramel, patchouli, vetiver;vanilla, musk, amber;fruity;citrus;woody;aromatic;sweet
mm;molinard;unisex;3,58;31;2022;water notes, floral notes;agarwood (oud), cedar, patchouli;vetiver, vanilla, amber;woody;aromatic;earthy;vanilla;oud
peau-d-espagne-1872;oriza-l-legrand;unisex;3,58;60;2022;bergamot, lemon verbena, neroli, rose;carnation, lavender, sandalwood, cloves;birch tar, styrax, benzoin;warm spicy;citrus;amber;leather;floral
flowers-of-evil;patrice-martin;women;3,58;40;2018;tarragon, neroli, bergamot, marigold, lemon, eucalyptus;jasmine, patchouli, oakmoss, sandalwood, violet;vetiver, white musk, ambergris;aromatic;woody;citrus;white floral;fresh spicy
gs;samy-andraus-fragrances;unisex;3,58;83;2018;cognac, tobacco;vanilla, cannabis, smoke;incense, agarwood (oud);smoky;vanilla;tobacco;woody;sweet
shine-sun;samy-andraus-fragrances;unisex;3,58;52;2020;bergamot, sicilian orange;ambroxan, grapefruit;woody notes;citrus;amber;woody;musky;fresh spicy
sotto-la-luna-tuberose;tauer-perfumes;unisex;3,58;201;2015;cloves, galbanum, cinnamon, geranium;tuberose, ylang-ylang, jasmine;tuberose, amber, patchouli;warm spicy;white floral;tuberose;green;aromatic
andy-kaufman-milk-cookies;xyrena;unisex;3,58;55;2015;butter, sugar;milk, milk chocolate;vanilla, white musk;lactonic;sweet;vanilla;chocolate;
tiare-flower-beach;ulric-de-varens;women;3,58;33;2013;tiare flower, coconut milk;tuberose, ylang-ylang;coconut;white floral;tuberose;sweet;coconut;yellow floral
sapphire-blue;the-house-of-oud;unisex;3,58;92;2022;almond, spices, west indian bay, mandarin orange;orchid, jasmine, tonka bean;vanilla, musk, jasmine;vanilla;sweet;powdery;floral;musky
fall-cashmere;skylar;unisex;3,58;309;2021;almond, ginger;cinnamon, clove, matcha tea;vanilla, sandalwood, amber, white musk;warm spicy;cinnamon;almond;vanilla;powdery
honeysuckle-dream;skylar;women;3,58;80;2022;pear leaf, black currant, bergamot;honeysuckle, lily, orange blossom;cashmere wood, sandalwood, amber;white floral;fruity;woody;;
russian-flowers-exciting;sergio-nero;women;3,58;43;2019;rhubarb, black currant, mandarin orange;violet, rose, geranium;musk, amber, sandalwood;rose;aromatic;powdery;violet;fruity
time-to-play-man;puma;men;3,58;40;2014;pineapple, lime, bergamot, lemon;watermelon, basil, galbanum;amber, musk, cedar, labdanum;citrus;ozonic;aquatic;fruity;sweet
supreme-star;orlov-paris;unisex;3,58;38;2018;grapefruit, bergamot, cardamom;vetiver, apple, rhubarb;woody notes, musk;citrus;woody;aromatic;fresh spicy;musky
blue-gin;mizensir;unisex;3,58;101;2021;cascalone, mandarin orange, cardamom;juniper berries, sichuan pepper;tonka bean, cetalox, iris;aromatic;fresh spicy;citrus;woody;aquatic
extreme-story;la-rive;men;3,58;325;2018;bergamot, mountain air, elemi;lavender, cardamom, geranium, violet, rose, peony;amber, vetiver, patchouli, leather;aromatic;fresh spicy;warm spicy;lavender;fresh
mr-sharp;la-rive;men;3,58;60;2019;black pepper, white pepper, bergamot;cedar, sage;cacao, amber, tonka bean;fresh spicy;warm spicy;cacao;amber;woody
parfum-5-thirsty;fugazzi;unisex;3,58;120;2020;bamboo, apple, galbanum, bellflower;fig, jasmine, neroli, rose;cedar, musk, amber;woody;fruity;green;white floral;musky
need-a-name;francesca-dell-oro;unisex;3,58;40;2020;lemon, cardamom, grapefruit, mandarin orange;atlas cedar, black pepper, green leaves, jasmine sambac;amber, musk, vanilla;citrus;woody;fresh spicy;warm spicy;aromatic
my-shadow-on-the-wall;floraiku;unisex;3,58;363;2017;violet leaf;mimosa;sandalwood;yellow floral;ozonic;powdery;aquatic;woody
fruit-d-amour-turquoise;emanuel-ungaro;women;3,58;98;2017;sea notes, coconut, grapefruit;tiare flower, orchid, orange blossom;sandalwood, patchouli, vanilla;marine;white floral;aromatic;citrus;sweet
sweet-vanilla;dilis-parfum;women;3,58;26;2021;pineapple, coconut, grapefruit;gardenia, lily-of-the-valley, cyclamen, rose;milk, vanilla, sandalwood, amber, cedar;lactonic;vanilla;sweet;coconut;fruity
respect;david-beckham;men;3,58;204;2017;grapefruit, pink pepper, watermelon;lavender, basil, cardamom;patchouli, oakmoss, vetiver;aromatic;fresh spicy;citrus;lavender;ozonic
shanghai-nicolas-beaulieu;contes-de-parfums;unisex;3,58;33;2022;nashi pear, tea leaf, lemon;chinese peony, jasmine, coconut nectar;ambroxan, sinfonide, vetiver;amber;fresh;floral;rose;musky
la-vida;ciclo-cosmeticos;women;3,58;55;2016;pear, raspberry, cassis;jasmine, orange blossom, iris;vanila, patchouli, praline, tonka bean;sweet;vanilla;fruity;white floral;patchouli
rock-star;carner-barcelona;unisex;3,58;233;2021;sea salt, bergamot, mandarin orange;mineral notes, lily-of-the-valley, seagrass, jasmine, orange blossom;ambergris, white musk, cedar;white floral;marine;salty;citrus;mineral
belle-icone;caline;women;3,58;26;2023;saffron, jasmine;cedar, bitter almond;amber, musk;warm spicy;woody;amber;metallic;leather
dangerous-woman;bruno-banani;women;3,58;925;2013;black currant;coconut milk, floral notes;vanilla absolute, heliotrope;vanilla;coconut;sweet;powdery;fruity
